time,x-acceleration,y-acceleration,z-acceleration
0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000
0.040,0.000,0.000,0.000
0.060,0.000,0.000,0.000
0.080,0.000,0.000,0.000
0.100,0.621,0.004,0.783
0.120,0.624,0.007,0.789
0.140,0.624,0.006,0.787
0.160,0.624,0.004,0.787
0.180,0.626,0.003,0.787
0.200,0.625,0.003,0.787
0.220,0.623,0.006,0.788
0.240,0.622,0.007,0.790
0.260,0.622,0.006,0.789
0.280,0.624,0.005,0.786
0.300,0.625,0.004,0.786
0.320,0.625,0.002,0.785
0.340,0.625,0.003,0.787
0.360,0.623,0.005,0.789
0.380,0.623,0.007,0.791
0.400,0.622,0.006,0.790
0.420,0.624,0.005,0.788
0.440,0.625,0.002,0.784
0.460,0.625,0.003,0.784
0.480,0.624,0.005,0.789
0.500,0.623,0.006,0.790
0.520,0.621,0.007,0.790
0.540,0.624,0.006,0.787
0.560,0.626,0.004,0.786
0.580,0.624,0.001,0.785
0.600,0.625,0.003,0.786
0.620,0.623,0.005,0.789
0.640,0.622,0.009,0.789
0.660,0.624,0.008,0.788
0.680,0.624,0.005,0.789
0.700,0.624,0.003,0.786
0.720,0.625,0.002,0.787
0.740,0.625,0.004,0.787
0.760,0.623,0.008,0.787
0.780,0.623,0.009,0.788
0.800,0.623,0.006,0.786
0.820,0.626,0.002,0.785
0.840,0.625,0.001,0.785
0.860,0.623,0.002,0.788
0.880,0.623,0.007,0.789
0.900,0.623,0.007,0.789
0.920,0.623,0.007,0.789
0.940,0.624,0.006,0.789
0.960,0.625,0.005,0.786
0.980,0.626,0.004,0.786
1.000,0.624,0.006,0.787
1.020,0.625,0.005,0.786
1.040,0.623,0.005,0.788
1.060,0.623,0.004,0.788
1.080,0.621,0.002,0.789
1.100,0.623,0.003,0.790
1.120,0.625,0.006,0.788
1.140,0.626,0.009,0.787
1.160,0.625,0.006,0.787
1.180,0.624,0.005,0.787
1.200,0.623,0.002,0.788
1.220,0.623,-0.000,0.790
1.240,0.623,0.001,0.789
1.260,0.625,0.007,0.784
1.280,0.625,0.008,0.781
1.300,0.625,0.009,0.784
1.320,0.623,0.006,0.789
1.340,0.622,0.003,0.788
1.360,0.621,0.005,0.790
1.380,0.624,0.005,0.788
1.400,0.625,0.005,0.787
1.420,0.624,0.006,0.786
1.440,0.623,0.008,0.787
1.460,0.624,0.006,0.786
1.480,0.623,0.003,0.789
1.500,0.624,0.002,0.789
1.520,0.623,0.003,0.787
1.540,0.623,0.005,0.786
1.560,0.624,0.006,0.785
