time,x-rotation,y-rotation,z-rotation
0.000,0.000,0.000,0.000
0.040,0.069,0.335,-0.187
0.080,0.011,0.286,0.072
0.120,-0.095,0.419,0.099
0.160,-0.099,0.419,0.030
0.200,-0.111,0.434,-0.015
0.240,-0.088,0.404,0.034
0.280,-0.137,0.431,0.034
0.320,-0.057,0.434,-0.030
0.360,-0.072,0.412,0.004
0.400,-0.137,0.434,0.015
0.440,-0.111,0.404,0.019
0.480,-0.114,0.400,0.042
0.520,-0.122,0.415,0.027
0.560,-0.152,0.415,0.023
0.600,-0.118,0.408,0.023
0.640,-0.130,0.389,0.038
0.680,-0.103,0.389,0.000
0.720,-0.107,0.415,0.019
0.760,-0.088,0.389,0.053
0.800,-0.130,0.400,0.015
0.840,-0.149,0.389,0.038
0.880,-0.107,0.396,0.027
0.920,-0.145,0.457,0.034
0.960,-0.133,0.423,0.034
1.000,-0.095,0.408,-0.027
1.040,-0.122,0.412,0.019
1.080,-0.118,0.389,0.019
1.120,-0.137,0.400,0.053
1.160,-0.179,0.423,0.061
1.200,-0.088,0.377,0.042
1.240,-0.133,0.446,0.027
1.280,-0.141,0.476,0.023
1.320,-0.111,0.404,0.015
1.360,-0.091,0.366,0.046
1.400,-0.084,0.389,-0.011
1.440,-0.118,0.404,-0.046
1.480,-0.034,0.404,-0.053
1.520,-0.137,0.480,0.034
1.560,-0.030,0.404,-0.011
1.600,0.042,0.423,0.019
1.640,-0.164,0.454,0.030
1.680,-0.061,0.358,-0.019
1.720,-0.145,0.427,-0.004
1.760,-0.183,0.423,0.050
1.800,-0.011,0.320,-0.015
1.840,0.050,0.030,-0.408
1.880,-28.262,-7.256,-41.056
1.920,-124.874,-0.774,-124.874
1.960,-118.563,8.075,-124.874
2.000,-53.586,0.229,-69.447
2.040,0.701,-0.377,-0.217
2.080,3.510,0.484,4.642
2.120,-0.930,0.415,-1.033
2.160,-0.240,0.442,-0.084
2.200,0.011,0.442,0.152
2.240,2.207,0.747,3.144
2.280,21.585,0.991,27.405
