time,x-acceleration,y-acceleration,z-acceleration,x-rotation,y-rotation,z-rotation
0.0,0.621,0.004,0.783,0.0,0.0,0.0
0.02,0.624,0.007,0.789,0.0055,0.143,0.036
0.04,0.624,0.006,0.787,0.011,0.286,0.072
0.06,0.624,0.004,0.787,-0.041999999999999996,0.3525,0.08549999999999999
0.08,0.626,0.003,0.787,-0.095,0.419,0.099
0.1,0.625,0.003,0.787,-0.097,0.419,0.0645
0.12,0.623,0.006,0.788,-0.099,0.419,0.03
0.14,0.622,0.007,0.79,-0.10500000000000001,0.4265,0.0075
0.16,0.622,0.006,0.789,-0.111,0.434,-0.015
0.18,0.624,0.005,0.786,-0.0995,0.41900000000000004,0.009500000000000001
0.2,0.625,0.004,0.786,-0.088,0.404,0.034
0.22,0.625,0.002,0.785,-0.1125,0.4175,0.034
0.24,0.625,0.003,0.787,-0.137,0.431,0.034
0.26,0.623,0.005,0.789,-0.097,0.4325,0.0020000000000000018
0.28,0.623,0.007,0.791,-0.057,0.434,-0.03
0.3,0.622,0.006,0.79,-0.0645,0.423,-0.012999999999999998
0.32,0.624,0.005,0.788,-0.072,0.412,0.004
0.34,0.625,0.002,0.784,-0.10450000000000001,0.423,0.0095
0.36,0.625,0.003,0.784,-0.137,0.434,0.015
0.38,0.624,0.005,0.789,-0.124,0.41900000000000004,0.017
0.4,0.623,0.006,0.79,-0.111,0.404,0.019
0.42,0.621,0.007,0.79,-0.1125,0.402,0.0305
0.44,0.624,0.006,0.787,-0.114,0.4,0.042
0.46,0.626,0.004,0.786,-0.118,0.4075,0.0345
0.48,0.624,0.001,0.785,-0.122,0.415,0.027
0.5,0.625,0.003,0.786,-0.137,0.415,0.025
0.52,0.623,0.005,0.789,-0.152,0.415,0.023
0.54,0.622,0.009,0.789,-0.135,0.4115,0.023
0.56,0.624,0.008,0.788,-0.118,0.408,0.023
0.58,0.624,0.005,0.789,-0.124,0.39849999999999997,0.0305
0.6,0.624,0.003,0.786,-0.13,0.389,0.038
0.62,0.625,0.002,0.787,-0.11649999999999999,0.389,0.019
0.64,0.625,0.004,0.787,-0.103,0.389,0.0
0.66,0.623,0.008,0.787,-0.105,0.402,0.0095
0.68,0.623,0.009,0.788,-0.107,0.415,0.019
0.7,0.623,0.006,0.786,-0.0975,0.402,0.036000000000000004
0.72,0.626,0.002,0.785,-0.088,0.389,0.053
0.74,0.625,0.001,0.785,-0.109,0.3945,0.034
0.76,0.623,0.002,0.788,-0.13,0.4,0.015
0.78,0.623,0.007,0.789,-0.1395,0.3945,0.0265
0.8,0.623,0.007,0.789,-0.149,0.389,0.038
0.82,0.623,0.007,0.789,-0.128,0.3925,0.0325
0.84,0.624,0.006,0.789,-0.107,0.396,0.027
0.86,0.625,0.005,0.786,-0.126,0.4265,0.0305
0.88,0.626,0.004,0.786,-0.145,0.457,0.034
0.9,0.624,0.006,0.787,-0.139,0.44,0.034
0.92,0.625,0.005,0.786,-0.133,0.423,0.034
0.94,0.623,0.005,0.788,-0.114,0.4155,0.003500000000000003
0.96,0.623,0.004,0.788,-0.095,0.408,-0.027
0.98,0.621,0.002,0.789,-0.1085,0.41,-0.004
1.0,0.623,0.003,0.79,-0.122,0.412,0.019
1.02,0.625,0.006,0.788,-0.12,0.40049999999999997,0.019
1.04,0.626,0.009,0.787,-0.118,0.389,0.019
1.06,0.625,0.006,0.787,-0.1275,0.3945,0.036000000000000004
1.08,0.624,0.005,0.787,-0.137,0.4,0.053
1.1,0.623,0.002,0.788,-0.158,0.4115,0.056999999999999995
1.12,0.623,-0.0,0.79,-0.179,0.423,0.061
1.14,0.623,0.001,0.789,-0.1335,0.4,0.051500000000000004
1.16,0.625,0.007,0.784,-0.088,0.377,0.042
1.18,0.625,0.008,0.781,-0.1105,0.4115,0.0345
1.2,0.625,0.009,0.784,-0.133,0.446,0.027
1.22,0.623,0.006,0.789,-0.137,0.46099999999999997,0.025
1.24,0.622,0.003,0.788,-0.141,0.476,0.023
1.26,0.621,0.005,0.79,-0.126,0.44,0.019
1.28,0.624,0.005,0.788,-0.111,0.404,0.015
